fungal	fungus
creek	crook
crease	creek
creek	shriek
creek	crock
gallon	gammon
down	drown
drone	drown
drought	drown
drown	frown
crown	drown
bail	boil
ball	boil
boil	broil
boil	boiled
bale	boil
boil	boiler
oil	boil
boil	soil
bile	boil
purge	surge
coal	cove
coat	cove
code	cove
coke	cove
cone	cove
hub	tub
pub	tub
rub	tub
sub	tub
tongue	tub
tub	stub
tub	tuck
tub	tut
shimmer	shiver
demur	shimmer
dimmer	shimmer
sponge	spongy
pa	spa
spa	spar
spa	spawn
spa	spot
spa	spur
rat	raft
mean	marine
barge	large
swim	swimmer
singer	sinker
sink	sinker
book	brook
brook	crook
rook	brook
gully	gulp
gully	gummy
mince	rinse
rinse	prince
road	erode
hero	hippo
money	muddy
moody	muddy
mud	muddy
muddy	muggy
muddy	mummy
muddy	mushy
cuddy	muddy
mucky	muddy
dairy	ferry
fair	ferry
fare	ferry
free	ferry
ferry	sherry
soap	soapy
gum	gush
gush	gut
gush	hush
gush	lush
gush	gusher
flowing	floating
spite	spout
spouse	spout
spout	sprout
basin	bison
bacon	basin
brain	brine
bride	brine
bright	brine
tap	taps
fountain	mountain
dripping	dropping
dripping	tripping
cave	wave
rave	wave
save	wave
shave	wave
wail	wave
wait	wave
wane	wave
way	wave
wave	ways
wave	weight
wave	whale
wain	wave
wave	waiver
wave	waver
cot	yacht
hot	yacht
pot	yacht
rot	yacht
watt	yacht
daughter	water
water	watery
water	watered
watered	watery
water	waters
watered	waters
waters	watery
die	dry
dye	dry
dry	fry
dry	pry
rye	dry
dry	try
dray	dry
wry	dry
suite	sweat
sweat	sweater
sweat	sweet
wet	sweat
sick	slick
slack	slick
sleek	slick
slick	slip
slick	stick
slick	slit
slick	spic
bat	bet
beat	bet
bed	bet
beg	bet
bell	bet
bet	belt
bet	best
bet	bit
bet	boot
bet	but
bet	butt
bare	bet
bet	net
bet	pet
beet	bet
bet	vet
bet	wet
dead	debt
deaf	debt
death	debt
debt	dirt
bet	debt
debt	net
debt	pet
debt	vet
debt	wet
bet	get
debt	get
get	gut
get	net
get	pet
get	vet
get	wet
gat	get
bet	let
debt	let
get	let
lead	let
leg	let
let	loot
let	net
let	pet
let	vet
let	wet
let	lute
bet	set
debt	set
get	set
let	set
net	set
pet	set
seat	set
sell	set
set	scent
set	sit
set	soot
set	suit
set	sweat
set	vet
set	wet
set	sought
air	wear
bare	wear
fair	wear
fare	wear
hair	wear
pair	wear
pear	wear
rare	wear
share	wear
tear	wear
war	wear
wear	well
wear	wet
pare	wear
wear	wearer
wear	web
web	well
web	wet
bed	wed
dead	wed
lead	wed
read	wed
red	wed
shed	wed
wear	wed
web	wed
wed	wedge
wed	weed
wed	well
wed	wet
wed	wood
wed	word
wad	wed
best	west
wet	west
hen	when
wear	when
web	when
wed	when
well	when
wet	when
air	where
bare	where
fair	where
fare	where
hair	where
pair	where
pear	where
rare	where
share	where
tear	where
war	where
web	where
wed	where
well	where
wet	where
when	where
pare	where
where	wearer
bet	yet
debt	yet
get	yet
let	yet
net	yet
pet	yet
set	yet
vet	yet
wet	yet
yacht	yet
yell	yet
bet	ret
debt	ret
get	ret
let	ret
net	ret
pet	ret
rare	ret
rat	ret
read	ret
red	ret
ref	ret
ret	fret
ret	root
ret	rot
ret	rut
ret	set
ret	vet
ret	wet
ret	yet
air	ware
bare	ware
fair	ware
fare	ware
hair	ware
pair	ware
pare	ware
pear	ware
rare	ware
share	ware
tear	ware
war	ware
ware	web
ware	wed
ware	well
ware	wet
ware	when
ware	wearer
belt	welt
felt	welt
melt	welt
well	welt
welt	welch
welt	welsh
welt	west
wet	welt
blade	played
diaper	viper
vapor	viper
viper	wiper
diaper	piper
paper	piper
pipe	piper
piper	viper
piper	wiper
candy	cannery
caulking	walking
base	case
cake	case
cane	case
case	cave
cape	case
case	face
case	pace
case	race
case	mace
case	vase
cay	case
case	kale
can	kin
fin	kin
kick	kin
kin	cane
kin	coin
kin	kiln
kin	kit
kin	sin
kin	skin
kin	tin
din	kin
cane	quin
coin	quin
kin	quin
attain	detain
attain	retain
lawn	loss
long	loss
loose	loss
lore	loss
loss	moss
loss	sauce
laud	loss
fin	win
kin	win
sin	win
tin	win
when	win
whiz	win
wick	win
wig	win
win	wane
win	whine
win	wine
win	wing
win	winner
win	wish
win	wit
din	win
win	quin
win	wain
whit	win
gain	game
gale	game
gay	game
game	gaze
game	shame
game	gape
bait	gate
date	gate
gain	gate
gale	gate
game	gate
gay	gate
gate	gaze
gate	grate
gate	great
gate	hate
gate	late
gate	rate
gate	wait
gate	weight
gape	gate
gate	gator
gate	pate
gate	sate
bait	gait
date	gait
gain	gait
gait	gale
gait	game
gay	gait
gait	gaze
gait	grate
gait	great
gait	hate
gait	late
gait	rate
gait	wait
gait	weight
gait	gape
gait	gator
gait	pate
gait	sate
gain	gainer
gainer	gator
boating	bowling
streak	street
stream	street
base	lace
case	lace
face	lace
lace	lake
lace	lane
lace	late
lay	lace
lace	pace
lace	place
lace	race
lace	mace
lace	vase
lace	laced
lace	laid
laid	blade
laid	lake
laid	lane
laid	late
lay	laid
lid	laid
laid	raid
laid	shade
laid	lied
laid	played
game	lame
lace	lame
laid	lame
lake	lame
lame	claim
lame	lane
lame	late
lay	lame
lame	lime
lame	shame
lace	layer
laid	layer
lake	layer
lame	layer
lane	layer
late	layer
lay	layer
layer	later
layer	player
bane	blain
blade	blain
blain	brain
lane	blain
blain	plain
blain	plane
bathe	lathe
lace	lathe
laid	lathe
lake	lathe
lame	lathe
lane	lathe
late	lathe
lay	lathe
lathe	layer
coin	loin
lane	loin
lawn	loin
line	loin
blain	slain
lane	slain
plain	slain
plane	slain
sane	slain
slain	slate
slay	slain
sleigh	slain
laid	made
made	mail
made	main
made	maize
made	male
made	mane
made	maze
made	raid
made	shade
mace	made
made	mailed
mid	made
laid	maid
maid	mail
maid	main
maid	maize
maid	male
maid	mane
maid	maze
maid	raid
maid	shade
mace	maid
maid	mailed
mid	maid
game	maim
lame	maim
made	maim
maid	maim
mail	maim
maim	main
maim	maize
maim	male
maim	mane
maim	maze
maim	shame
mace	maim
ache	make
bake	make
cake	make
lake	make
made	make
maid	make
mail	make
maim	make
main	make
maize	make
make	male
make	mane
make	maze
make	rake
make	shake
mace	make
hake	make
bait	mate
date	mate
gait	mate
gate	mate
hate	mate
late	mate
made	mate
maid	mate
mail	mate
maim	mate
main	mate
maize	mate
make	mate
male	mate
mane	mate
mate	maze
mate	might
mate	mite
mitt	mate
mate	rate
mace	mate
mate	wait
mate	weight
mate	pate
mate	sate
bay	may
day	may
gay	may
hay	may
lay	may
may	made
may	maid
may	mail
may	maim
may	main
may	maize
may	make
may	male
may	mane
may	mate
may	maze
may	my
may	pay
may	ray
may	mace
may	way
cay	may
layer	mayor
made	mayor
maid	mayor
mail	mayor
maim	mayor
main	mayor
maize	mayor
make	mayor
male	mayor
mane	mayor
mate	mayor
may	mayor
mayor	maze
mace	mayor
din	min
fin	min
kin	min
man	min
mean	min
mid	min
mil	min
mill	min
min	main
min	mane
min	mince
min	mine
min	mint
min	miss
min	mitt
min	moon
min	sin
min	tin
min	win
arraign	moraine
main	moraine
mane	moraine
butch	ouch
out	ouch
ouch	outer
bruise	cruise
ruse	bruise
brood	bruise
camp	cramp
clamp	cramp
crap	cramp
ramp	cramp
injure	injury
cute	acute
bleed	blood
bead	bleed
bleak	bleed
bleed	breed
farm	harm
hard	harm
harm	harp
harm	heart
constellation	constipation
injure	injured
injured	injury
heating	hurting
inch	pinch
lynch	pinch
pinch	punch
spray	sprain
singer	stinger
sting	stinger
stinger	stink
singing	stinging
rob	throb
whipping	willing
whipping	wishing
mince	wince
rinse	wince
win	wince
wince	winner
laid	paid
made	paid
maid	paid
pace	paid
paid	pail
paid	pain
paid	pale
paid	pane
pay	paid
paid	raid
paid	shade
paid	spade
paid	pate
paid	pied
paid	played
pain	pains
pane	pains
faint	paint
pain	paint
pains	paint
pane	paint
paint	paste
paint	taint
pate	paint
fin	pin
kin	pin
pan	pin
pawn	pin
peer	pin
pick	pin
pier	pin
pig	pin
pin	pain
pin	pane
pin	pine
pin	piss
pin	pit
pin	pun
pin	sin
pin	spin
pin	tin
pin	win
din	pin
min	pin
paid	pained
pain	pained
pained	pains
pained	paint
pane	pained
cave	pave
pace	pave
paid	pave
pail	pave
pain	pave
pale	pave
pane	pave
pate	pave
pay	pave
pave	rave
pave	save
pave	shave
pave	wave
layer	payer
mayor	payer
pace	payer
paid	payer
pail	payer
pain	payer
pale	payer
pane	payer
pate	payer
pave	payer
pay	payer
payer	paper
payer	player
huddle	hurdle
jerky	jockey
finish	finisher
derby	dirty
bun	run
done	run
pun	run
rub	run
rug	run
run	rut
run	sun
crack	track
track	tract
track	trash
track	trek
track	trick
ace	ale
ace	ape
ace	base
ace	case
ace	face
ace	ache
ace	hiss
ace	ice
ace	lace
ace	miss
ace	pace
ace	piss
ace	race
ace	mace
ace	vase
ace	ail
base	brace
brace	brain
brace	brave
brace	break
brace	grace
race	brace
brace	trace
brae	brace
erase	grace
brace	erase
race	erase
erase	trace
race	racer
ace	dace
base	dace
case	dace
dace	date
day	dace
dace	days
dace	daze
dace	dice
dace	face
dace	lace
dace	mace
dace	pace
dace	race
dace	vase
dace	dais
dace	dale
race	racy
racer	racy
racy	rainy
race	rates
rate	rates
aid	ape
aid	ale
aid	age
ace	aid
ache	aid
aid	laid
aid	lid
aid	made
aid	maid
aid	paid
aid	raid
aid	rid
aid	shade
aid	ail
aid	mid
aide	ape
aide	ale
aide	age
ace	aide
ache	aide
aide	laid
aide	lid
aide	made
aide	maid
aide	paid
aide	raid
aide	rid
aide	shade
aide	ail
aide	mid
aid	fade
aide	fade
face	fade
fade	fail
fade	laid
fade	made
fade	maid
fade	paid
fade	phase
fade	raid
fade	shade
fade	faze
fade	feign
fade	frayed
blade	braid
braid	brain
braid	brave
braid	break
braid	bride
braid	grade
brace	braid
raid	braid
braid	trade
brae	braid
braid	frayed
age	rage
raid	rage
rage	range
rage	sage
ridge	rage
raid	raised
raise	raised
raze	raised
racer	raider
rage	raider
raid	raider
raider	trader
raider	wader
aid	arrayed
aide	arrayed
arraign	arrayed
arrayed	fade
arrayed	laid
arrayed	made
arrayed	maid
arrayed	paid
arrayed	raid
arrayed	shade
raid	razed
raise	razed
raze	razed
aid	wade
aide	wade
arrayed	wade
fade	wade
laid	wade
made	wade
maid	wade
paid	wade
raid	wade
shade	wade
wade	suede
wade	wail
wade	wait
wade	wane
wade	wave
way	wade
wade	ways
wade	weight
wade	whale
wade	wide
wade	wader
wade	wain
bail	braille
bale	braille
brace	braille
brae	braille
braid	braille
braille	brain
braille	brave
braille	break
braille	broil
braille	frail
braille	grail
rail	braille
braille	trail
rail	rails
raise	rails
raze	rails
ail	rill
aisle	rill
ale	rill
dill	rill
fill	rill
hill	rill
isle	rill
mil	rill
mill	rill
oil	rill
real	rill
reel	rill
rid	rill
riel	rill
rig	rill
rill	drill
rill	grill
rill	rail
rill	rile
rill	ring
rill	rip
rill	rule
rill	shrill
boil	roil
oil	roil
rail	roil
rile	roil
rill	roil
roil	broil
roil	soil
cortex	vortex
bed	head
dead	head
hair	head
head	hedge
head	hen
head	hood
head	lead
head	read
head	red
head	shed
head	wed
head	heed
load	lobe
loaf	lobe
low	lobe
lobe	robe
lobe	lode
metal	mental
mild	mind
mine	mind
mind	miner
mind	minor
mind	rind
mind	wind
nerve	nerves
psyche	spiky
psyche	sticky
school	skull
skill	skull
smart	start
stoke	stroke
mink	think
sink	think
thaw	thought
naught	thought
sought	thought
bake	brake
brain	brake
brake	brave
braid	brake
brace	brake
rake	brake
brae	brake
braille	brake
brain	brainy
rainy	brainy
brainy	grainy
brace	braise
brae	braise
braid	braise
braille	braise
brain	braise
braise	brake
braise	brave
braise	break
braise	craze
braise	graze
raise	braise
raze	braise
billing	building
crane	crayon
drain	drained
brake	drake
break	drake
drain	drake
drake	drape
rake	drake
dray	drake
brainy	trainee
grainy	trainee
rainy	trainee
train	trainee
rainy	zany
lift	lint
lift	list
lift	sift
lift	miffed
remote	promote
craze	phrase
frail	phrase
fray	phrase
fries	phrase
graze	phrase
phase	phrase
raise	phrase
braise	phrase
faze	phrase
frayed	phrase
raze	phrase
craze	praise
graze	praise
phrase	praise
pray	praise
prey	praise
raise	praise
braise	praise
raze	praise
racer	razor
raise	razor
raised	razor
raider	razor
raze	razor
razed	razor
racer	raiser
raider	raiser
raise	raiser
raised	raiser
raze	raiser
raiser	razed
bake	fake
cake	fake
face	fake
fade	fake
fail	fake
fake	flake
ache	fake
fake	lake
fake	make
fake	phase
fake	rake
fake	shake
fake	faze
fake	feign
fake	hake
ache	sake
bake	sake
cake	sake
fake	sake
lake	sake
make	sake
rake	sake
sail	sake
sake	sale
sake	sane
sake	save
sake	shake
sick	sake
sake	slick
sake	steak
sake	stick
hake	sake
sake	sate
sake	spic
ache	take
bake	take
cake	take
chick	take
fake	take
lake	take
make	take
rake	take
sake	take
shake	take
tail	take
take	steak
take	tale
take	tape
tic	take
take	trick
hake	take
ache	wake
bake	wake
cake	wake
fake	wake
lake	wake
make	wake
rake	wake
sake	wake
shake	wake
take	wake
wail	wake
wait	wake
wake	wane
wake	wave
way	wake
wake	ways
wake	weight
wake	whale
wick	wake
hake	wake
wade	wake
wain	wake
ache	rick
dick	rick
kick	rick
pick	rick
rick	rake
rick	rid
rick	ring
rick	rip
rick	rock
rick	rook
rick	sick
rick	tic
rick	trick
rick	wick
rick	rig
rick	rill
salt	assault
rape	raped
rate	raped
raped	shaped
raped	taped
cart	cost
cast	cost
cot	cost
caste	cost
cost	cussed
seed	speed
speak	speed
cede	speed
ace	eight
aid	eight
aide	eight
ale	eight
ape	eight
bit	eight
eight	date
eight	bait
eight	fit
eight	gate
eight	hate
ache	eight
eight	hit
eight	gait
it	eight
eight	kit
eight	late
eight	mate
eight	mitt
eight	pit
eight	rate
eight	sit
eight	wait
eight	weight
eight	wit
ail	eight
eight	pate
eight	sate
eight	whit
date	fate
face	fate
fade	fate
fail	fate
fake	fate
fate	faint
fate	fight
eight	fate
bait	fate
fit	fate
fate	gate
fate	hate
fate	gait
fate	late
fate	mate
fate	phase
fate	rate
fate	wait
fate	weight
fate	faced
fate	faze
fate	feign
fate	pate
fate	sate
crate	freight
fate	freight
frail	freight
fray	freight
freight	fright
freight	grate
freight	great
freight	phrase
rate	freight
freight	trait
frayed	freight
bait	fete
date	fete
eight	fete
face	fete
fade	fete
fail	fete
fake	fete
faze	fete
feign	fete
fete	faced
fete	faint
fete	fight
fit	fete
fete	freight
fete	gait
fete	gate
fete	hate
fete	late
fete	mate
fete	phase
fete	rate
fete	wait
fete	weight
fete	pate
fete	sate
bit	writ
eight	writ
fit	writ
hit	writ
it	writ
kit	writ
mitt	writ
pit	writ
rat	writ
ret	writ
rick	writ
rid	writ
rig	writ
rill	writ
ring	writ
rip	writ
root	writ
rot	writ
rut	writ
sit	writ
whit	writ
wit	writ
writ	rate
writ	right
writ	rite
writ	wrist
writ	write
raft	rant
rant	ranch
rat	rant
cave	knave
knave	nail
knave	rave
knave	save
knave	shave
knave	wave
knave	pave
cave	nave
nail	nave
nave	rave
nave	save
nave	shave
nave	wave
nave	pave
cave	waive
knave	waive
nave	waive
pave	waive
rave	waive
save	waive
shave	waive
wade	waive
wail	waive
wain	waive
wait	waive
waive	wake
waive	wane
way	waive
waive	ways
waive	weight
waive	whale
waive	waiver
waive	waver
beam	beep
beam	bomb
beam	boom
bam	beam
beam	beef
bead	beam
beam	bean
beam	beat
balm	beam
beam	beet
bun	gun
done	gun
gum	gun
gun	gush
gun	gut
gun	pun
gun	run
gun	sun
gun	gunner
gamma	gammon
bay	say
day	say
gay	say
hay	say
lay	say
may	say
pay	say
ray	say
say	sail
say	sake
say	sale
say	sane
say	save
say	sigh
say	slay
say	sleigh
say	soy
say	way
cay	say
psi	say
say	sate
bay	they
day	they
gay	they
hay	they
lay	they
may	they
pay	they
ray	they
say	they
they	way
cay	they
array	bay
array	day
array	gay
array	hay
array	lay
array	may
array	pay
array	ray
array	say
array	they
array	way
array	arraign
array	arrayed
array	awry
array	cay
array	weigh
bay	weigh
day	weigh
gay	weigh
hay	weigh
lay	weigh
may	weigh
pay	weigh
ray	weigh
say	weigh
they	weigh
weigh	away
weigh	wail
weigh	wait
weigh	wake
weigh	wane
weigh	wave
weigh	ways
weigh	weight
weigh	whale
weigh	why
cay	weigh
weigh	wade
weigh	wain
weigh	waive
array	nay
bay	nay
cay	nay
day	nay
gay	nay
hay	nay
lay	nay
may	nay
nay	knave
nay	nail
nay	nave
nay	pay
nay	ray
nay	say
nay	they
nay	way
nay	weigh
nay	nigh
array	whey
bay	whey
cay	whey
day	whey
gay	whey
hay	whey
lay	whey
may	whey
nay	whey
pay	whey
ray	whey
say	whey
they	whey
whey	away
whey	wade
whey	wail
whey	wain
whey	wait
whey	waive
whey	wake
whey	wane
whey	wave
whey	ways
whey	weight
whey	whale
whey	why
array	yea
bay	yea
cay	yea
day	yea
gay	yea
hay	yea
lay	yea
may	yea
nay	yea
pay	yea
ray	yea
say	yea
they	yea
way	yea
weigh	yea
whey	yea
craze	crazy
safe	sail
safe	sake
safe	sale
safe	sane
safe	save
say	safe
safe	sniff
safe	sate
game	same
lame	same
maim	same
safe	same
sail	same
sake	same
sale	same
same	sane
same	save
say	same
same	shame
same	swim
same	sate
faint	saint
paint	saint
sane	saint
saint	taint
sate	saint
attain	stain
sane	stain
stain	stale
stain	steak
slain	stain
picket	ticket
failing	railing
railing	rating
ailing	railing
metro	retro
boot	toot
hoot	toot
loot	toot
newt	toot
root	toot
suit	toot
tat	toot
to	toot
too	toot
tool	toot
toot	tooth
two	toot
coot	toot
lute	toot
moot	toot
teat	toot
toot	tut
track	tram
tram	trash
tunnel	tussle
chain	train
chain	terrain
terrain	train
arraign	terrain
moraine	terrain
sprain	strain
stain	strain
stray	strain
train	strain
trade	trained
train	trained
trained	trainee
drained	trained
trader	trainer
train	trainer
trained	trainer
trainee	trainer
brine	trine
tine	trine
train	trine
trice	trine
tried	trine
try	trine
chain	twain
terrain	twain
train	twain
wane	twain
wain	twain
sanity	vanity
whack	wax
safe	waif
wade	waif
waif	wafer
waif	wail
waif	wait
waif	wake
waif	wane
waif	wave
way	waif
waif	ways
weigh	waif
waif	weight
waif	whale
waif	wife
waif	wain
waif	waive
whey	waif
arraign	urbane
bane	urbane
babe	baby
babe	base
babe	bathe
bay	babe
babe	bail
babe	beige
babe	bake
babe	bait
babe	bale
babe	bane
bean	bin
big	bin
bin	bit
bin	bun
bin	burn
bin	fin
bin	kin
bin	pin
bin	sin
bin	tin
bin	win
bin	bane
bin	din
bin	min
face	faith
fade	faith
fail	faith
faith	fake
faith	fate
faith	phase
faith	faze
faith	feign
faith	fete
face	fame
fade	fame
fail	fame
faith	fame
fake	fame
fame	fate
fame	game
fame	lame
fame	maim
fame	phase
fame	same
fame	shame
fame	faze
fame	feign
fame	fete
faced	feint
fate	feint
feign	feint
feint	paint
feint	saint
feint	taint
fete	feint
rayon	raven
bin	thin
fin	thin
kin	thin
pin	thin
sin	thin
thin	tin
thin	win
din	thin
min	thin
thin	thane
thin	thinner
belly	berry
berry	dairy
berry	ferry
bare	berry
berry	sherry
aisle	eyes
eye	eyes
eyes	fizz
eyes	his
eyes	ice
eyes	isle
eyes	rise
eyes	size
eyes	whiz
eyes	wise
gloom	glum
glove	glum
gum	glum
few	hue
hue	pew
iris	virus
gin	jean
knave	navy
nave	navy
peacock	pecan
blah	blob
blah	blue
blah	bra
law	blah
blue	brew
bra	brew
brew	bruise
rue	brew
brew	true
brew	brood
blue	clue
claw	clue
clue	flu
clue	glue
loo	clue
lieu	clue
clue	slew
blah	blur
blue	blur
burr	blur
boo	blue
boo	boom
boo	boot
boo	brew
boo	dew
boo	do
boo	due
boo	goo
boo	booth
boo	loo
boo	new
boo	rue
boo	shoe
boo	sue
boo	to
boo	too
boo	two
boo	burr
boo	gnu
boo	lieu
boo	mu
boo	nu
bloom	blues
blue	blues
blues	bruise
lose	blues
blue	flue
clue	flue
few	flue
flue	glue
loo	flue
lieu	flue
flue	slew
career	clear
cake	click
clear	click
click	cliff
click	cluck
click	cling
kick	click
click	slick
cape	clip
clear	clip
click	clip
cliff	clip
cling	clip
clip	slip
career	queer
clear	queer
queer	quin
clear	cleared
clear	fleer
fear	fleer
fleer	fling
dive	five
fight	five
file	five
fine	five
fire	five
phi	five
aloe	alto
steam	esteem
achieve	achiever
lift	loft
loft	lofty
height	hide
high	hide
hide	ride
hide	tide
hide	wide
dyed	hide
hide	lied
hide	pied
fire	higher
height	higher
hide	higher
high	higher
higher	wire
dyke	hike
height	hike
hide	hike
high	hike
higher	hike
hike	pike
dike	hike
hake	hike
fire	hire
height	hire
hide	hire
high	hire
hike	hire
hire	wire
dive	hive
five	hive
height	hive
hide	hive
high	hive
higher	hive
hike	hive
hire	hive
cow	how
high	how
hoe	how
how	house
height	hype
hide	hype
high	hype
higher	hype
hike	hype
hire	hype
hive	hype
hype	pipe
hype	ripe
hype	wipe
breathe	breed
breathe	breeze
breeze	bruise
breed	breeze
breeze	freeze
breeze	frieze
duck	duct
fight	flight
flies	flight
fly	flight
flight	fright
light	flight
flight	slight
flight	flout
flight	plight
flight	sleight
long	lung
lung	lush
lung	tongue
lung	young
luff	lung
scent	vent
tent	vent
vet	vent
air	bear
bar	bear
bear	bed
bear	beg
bear	bell
bear	berry
bear	bore
bear	fair
bear	fare
bear	bet
bear	hair
bear	boar
bear	pair
bear	pear
bear	rare
bear	share
bear	tear
bear	wear
bear	where
bear	pare
bear	ware
air	airy
airy	berry
airy	area
airy	dairy
airy	ferry
airy	free
airy	sherry
airy	tree
air	care
bear	care
car	care
care	core
care	corps
care	fair
care	fare
care	hair
bare	care
care	pair
care	pear
care	rare
care	scare
care	share
care	tear
care	wear
care	where
care	pare
care	ware
air	dare
bear	dare
care	dare
dare	dairy
dare	dead
dare	deaf
dare	dear
dare	death
dare	debt
dare	deer
dare	door
dare	fair
dare	fare
dare	hair
bare	dare
dare	pair
dare	pear
dare	rare
dare	share
dare	tear
dare	wear
dare	where
dare	doer
dare	pare
dare	ware
air	era
airy	era
era	area
air	error
airy	error
era	error
error	wearer
air	hare
bear	hare
care	hare
dare	hare
fair	hare
fare	hare
hare	head
hare	hen
bare	hare
hare	pair
hare	pear
hare	rare
hare	share
hare	tear
hare	wear
hare	where
hare	whore
hare	pare
hare	ware
air	mare
bear	mare
care	mare
dare	mare
fair	mare
fare	mare
hair	mare
hare	mare
mare	meth
mare	more
bare	mare
mare	pair
mare	pear
mare	rare
mare	share
mare	tear
mare	wear
mare	where
mar	mare
mare	pare
mare	ware
air	their
bare	their
bear	their
care	their
dare	their
fair	their
fare	their
hair	their
hare	their
mare	their
pair	their
pear	their
rare	their
share	their
tear	their
their	wear
their	where
pare	their
their	ware
air	there
bare	there
bear	there
care	there
dare	there
fair	there
fare	there
hair	there
hare	there
mare	there
pair	there
pear	there
rare	there
share	there
tear	there
there	wear
there	where
pare	there
there	ware
air	aired
aired	airy
aired	end
aired	era
aired	error
air	airs
aired	airs
airs	airy
airs	eggs
airs	era
airs	error
air	ebb
ebb	egg
ebb	herb
ebb	web
air	ell
earl	ell
ebb	ell
eel	ell
egg	ell
ell	bell
ell	elf
ell	fell
ell	sell
ell	shell
ell	well
ell	yell
air	lair
bare	lair
bear	lair
care	lair
dare	lair
fair	lair
fare	lair
hair	lair
hare	lair
lair	lead
lair	leg
lair	let
lair	lore
lair	lure
lair	mare
lair	pair
lair	pear
lair	rare
lair	share
lair	tear
lair	their
lair	there
lair	wear
lair	where
lair	pare
lair	ware
bellow	below
below	billow
odor	over
ogre	over
ochre	over
above	abut
but	abut
butt	abut
above	abuzz
abut	abuzz
propel	propeller
runway	runaway
haven	raven
ascend	descend
ascend	offend
send	ascend
bell	hell
fell	hell
hair	hell
hall	hell
hare	hell
head	hell
heal	hell
heel	hell
hell	health
hell	help
hell	hen
hell	hill
hell	hull
hell	hurl
hell	sell
hell	shell
hell	well
hell	yell
ell	hell
capture	rapture
heaven	seven
heaven	heavens
heaven	hessian
heron	hessian
ambiance	ambient
crate	crater
crater	grater
cater	crater
fowl	howl
hole	howl
house	howl
how	howl
howl	whole
loon	lunar
dune	goon
goo	goon
goof	goon
goon	goop
goon	gun
goon	moon
goon	noon
goon	soon
goon	loon
hen	men
man	men
mare	men
mean	men
men	many
men	meth
men	moon
men	when
men	min
marine	maroon
moon	maroon
dune	tune
goon	tune
moon	tune
noon	tune
soon	tune
tin	tune
to	tune
too	tune
tool	tune
toot	tune
tooth	tune
tune	tuna
two	tune
loon	tune
bean	boon
bin	boon
boo	boon
boom	boon
boon	boot
boon	booth
boon	bun
boon	burn
boon	dune
boon	goon
boon	moon
boon	noon
boon	soon
boon	tune
boon	loon
boon	coon
can	coon
cool	coon
coon	dune
coon	goon
coon	kin
coon	moon
coon	noon
coon	soon
coon	tune
coon	coop
coon	coot
coon	coupe
coon	kook
coon	loon
searing	string
spring	string
sting	string
string	strong
string	starring
kit	quit
kite	quit
queer	quit
quit	quite
wit	quit
quin	quit
whit	quit
astronomer	astronomy
comet	common
common	cotton
comma	comet
comma	common
comma	llama
dying	lying
lying	flying
lying	lining
dyeing	lying
scrape	scraper
crepe	scrape
consolation	constellation
eagle	evil
glide	slide
allied	glide
lied	glide
paw	saw
saw	sauce
saw	sea
saw	sir
saw	soar
saw	sore
saw	soy
saw	sue
saw	thaw
saw	sought
core	score
corps	score
scar	score
scare	score
score	snore
soar	score
sore	score
score	store
score	spore
long	song
pong	song
sauce	song
saw	song
soar	song
song	sore
song	soy
song	sought
horde	sword
soar	sword
sore	sword
sort	sword
source	sword
sword	ward
ford	sword
boar	pore
bore	pore
core	pore
corps	pore
door	pore
for	pore
fore	pore
four	pore
gore	pore
lore	pore
more	pore
nor	pore
oar	pore
ore	pore
pair	pore
par	pore
pare	pore
pause	pore
paw	pore
pawn	pore
pear	pore
peer	pore
pier	pore
pong	pore
poor	pore
pore	pork
pore	porn
pore	port
pore	roar
pore	shore
pore	soar
pore	sore
pore	war
pore	whore
pore	your
pore	spore
pore	tor
pore	tore
pore	yore
dear	sear
deer	sear
ear	sear
fear	sear
near	sear
peer	sear
pier	sear
sear	sick
sear	sieve
sear	sin
sear	sip
sear	sit
sear	soar
sear	sore
sear	spear
sear	steer
cede	seer
sea	seer
seal	seer
sear	seer
seat	seer
seed	seer
seep	seer
seer	seize
seer	soar
seer	sore
soap	scope
legs	lens
lens	cleanse
stair	stairs
stare	stairs
dread	dress
bang	hang
fang	hang
ham	hang
hang	hanger
hang	hat
hang	have
hag	hang
stair	step
stare	step
stem	step
step	stoop
step	stop
step	stoup
sand	stand
claim	climb
lime	climb
climb	slime
elevate	elevator
rowing	growing
hide	tied
ride	tied
tie	tied
tied	tight
tied	tile
tied	time
tied	wide
dyed	tied
lied	tied
pied	tied
tied	tine
tied	tried
chick	chin
chill	chin
chin	chain
tin	chin
chin	tine
ascend	ascent
ascent	descent
scent	ascent
step	steps
lion	lighten
riding	rising
head	heads
heads	hedge
puck	pucker
pucker	succor
pucker	sucker
picker	pucker
pucker	putter
eve	of
of	dove
of	up
of	us
upward	upwards
relief	relieve
tide	tired
tied	tired
cite	side
hide	side
ride	side
sigh	side
side	sight
side	sign
side	sine
side	site
side	size
side	slide
side	snide
side	tide
side	tied
side	wide
dyed	side
lied	side
pied	side
psi	side
cow	sow
how	sow
sew	sow
sigh	sow
so	sow
sow	sour
psi	sow
sow	scow
cite	sire
fire	sire
higher	sire
hire	sire
psi	sire
side	sire
sigh	sire
sight	sire
sign	sire
sine	sire
sire	signer
sire	site
sire	size
sire	sour
sire	wire
farce	fox
core	coy
corps	coy
coy	coin
